name,node_id,osm_node_id,x_coord,y_coord,zone_id,TAZ_ID,geometry,notes,old_node_id,is_boundary,activity_type,poi_id,production_14:00-18:00,atraction_14:00-18:00,production_16:00-17:00,atraction_16:00-17:00
,3466,2581998380,-112.1134716,33.4956656,,,POINT (-112.1134716 33.4956656),,57,0,secondary,,,,,
,3467,42373483,-112.1126217,33.4795932,,,POINT (-112.1126217 33.4795932),,58,0,trunk,,,,,
,3468,4092233612,-112.1128831,33.5100497,,,POINT (-112.1128831 33.5100497),,59,0,secondary,,,,,
,3469,4092233605,-112.1119374,33.5089583,,,POINT (-112.1119374 33.5089583),,60,0,secondary,,,,,
,3470,256784515,-112.1126423,33.4935847,,,POINT (-112.1126423 33.4935847),,61,0,secondary,,,,,
,3471,256833285,-112.1129698,33.4850703,,,POINT (-112.1129698 33.4850703),,62,0,motorway,,,,,
,3472,5207593353,-112.1129725,33.4900366,,,POINT (-112.1129725 33.4900366),,63,0,motorway,,,,,
,3473,9619258906,-112.1130242,33.4807509,,,POINT (-112.1130242 33.4807509),,64,0,motorway,,,,,
,3474,5134826472,-112.1130447,33.4774475,,,POINT (-112.1130447 33.4774475),,65,0,motorway,,,,,
,3475,1338888018,-112.1130403,33.4780818,,,POINT (-112.1130403 33.4780818),,66,0,motorway,,,,,
,3476,41250864,-112.1131559,33.4912598,,,POINT (-112.1131559 33.4912598),,67,0,motorway,,,,,
,3477,5207593356,-112.1131641,33.4901624,,,POINT (-112.1131641 33.4901624),,68,0,motorway,,,,,
,3478,1341475742,-112.1130583,33.4980725,,,POINT (-112.1130583 33.4980725),,69,0,motorway,,,,,
,3479,5135338977,-112.1128003,33.5047597,,,POINT (-112.1128003 33.5047597),,70,0,motorway,,,,,
,3480,5135277062,-112.1125593,33.5047602,,,POINT (-112.1125593 33.5047602),,71,0,motorway,,,,,
,3481,41198152,-112.1127235,33.5059947,,,POINT (-112.1127235 33.5059947),,72,0,motorway,,,,,
,3482,3917934864,-112.1119556,33.5088057,,,POINT (-112.1119556 33.5088057),,73,0,secondary,,,,,
,3483,8918666667,-112.1127658,33.5110433,,,POINT (-112.1127658 33.5110433),,74,0,secondary,,,,,
,3484,5207593355,-112.113165,33.4900375,,,POINT (-112.113165 33.4900375),,75,0,motorway,,,,,
,3485,5207593354,-112.1129726,33.4901616,,,POINT (-112.1129726 33.4901616),,76,0,motorway,,,,,
,3486,9129577848,-112.1134492,33.4959791,,,POINT (-112.1134492 33.4959791),,77,0,secondary,,,,,
,3487,1758650132,-112.1132551,33.4756757,,,POINT (-112.1132551 33.4756757),,78,0,motorway,,,,,
